home,region_name,fines
Самарская область,Республика Крым,2
Самарская область,Республика Татарстан,6
Самарская область,Ростовская область,1
Самарская область,Рязанская область,2
Самарская область,Самарская область,618
Самарская область,Санкт-Петербург,1
Самарская область,Саратовская область,8
Самарская область,Свердловская область,12
Самарская область,Ставропольский край,1
Самарская область,Тамбовская область,1
Самарская область,Тульская область,1
Самарская область,Тюменская область,2
Самарская область,Ульяновская область,8
Самарская область,Чувашская Республика,3
Самарская область,Ямало-Ненецкий автономный округ,3
Санкт-Петербург,Астраханская область,1
Санкт-Петербург,Белгородская область,2
Санкт-Петербург,Владимирская область,4
Санкт-Петербург,Волгоградская область,4
Санкт-Петербург,Вологодская область,94
Санкт-Петербург,Воронежская область,6
Санкт-Петербург,Кабардино-Балкарская Республика,14
Санкт-Петербург,Калининградская область,3
Санкт-Петербург,Камчатский край,1
Санкт-Петербург,Кемеровская область,1
Санкт-Петербург,Костромская область,4
Санкт-Петербург,Краснодарский край,4
Санкт-Петербург,Курганская область,2
Санкт-Петербург,Курская область,1
Санкт-Петербург,Ленинградская область,1042
Санкт-Петербург,Липецкая область,1
Санкт-Петербург,Москва,45
Санкт-Петербург,Московская область,82
Санкт-Петербург,Мурманская область,13
Санкт-Петербург,Нижегородская область,10
Санкт-Петербург,Новгородская область,30
Санкт-Петербург,Орловская область,7
Санкт-Петербург,Пензенская область,1
Санкт-Петербург,Псковская область,65
Санкт-Петербург,Республика Адыгея,6
Санкт-Петербург,Республика Башкортостан,2
Санкт-Петербург,Республика Дагестан,1
Санкт-Петербург,Республика Карелия,58
Санкт-Петербург,Республика Крым,5
Санкт-Петербург,Республика Марий Эл,3
Санкт-Петербург,Республика Мордовия,5
Санкт-Петербург,Республика Татарстан,4
Санкт-Петербург,Ростовская область,3
Санкт-Петербург,Рязанская область,5
Санкт-Петербург,Санкт-Петербург,3739
Санкт-Петербург,Саратовская область,1
Санкт-Петербург,Свердловская область,2
Санкт-Петербург,Севастополь,4
Санкт-Петербург,Смоленская область,11
Санкт-Петербург,Ставропольский край,15
Санкт-Петербург,Тамбовская область,4
Санкт-Петербург,Тверская область,16
Санкт-Петербург,Тульская область,25
Санкт-Петербург,Ульяновская область,3
Санкт-Петербург,Чеченская республика,1
Санкт-Петербург,Чувашская Республика,16
Санкт-Петербург,Ярославская область,6
Свердловская область,Алтайский край,7
Свердловская область,Астраханская область,1
Свердловская область,Волгоградская область,3
Свердловская область,Вологодская область,2
Свердловская область,Кабардино-Балкарская Республика,1
Свердловская область,Кемеровская область,4
Свердловская область,Кировская область,1
Свердловская область,Красноярский край,1
Свердловская область,Курганская область,6
Свердловская область,Ленинградская область,3
Свердловская область,Москва,18
Свердловская область,Московская область,16
Свердловская область,Нижегородская область,8
Свердловская область,Новосибирская область,23
Свердловская область,Омская область,7
Свердловская область,Оренбургская область,5
Свердловская область,Пермский край,25
Свердловская область,Республика Башкортостан,60
Свердловская область,Республика Крым,3
Свердловская область,Республика Марий Эл,3
Свердловская область,Республика Татарстан,39
Свердловская область,Ростовская область,3
Свердловская область,Рязанская область,3
Свердловская область,Самарская область,11
Свердловская область,Санкт-Петербург,10
Свердловская область,Саратовская область,5
Свердловская область,Свердловская область,2750
Свердловская область,Севастополь,9
Свердловская область,Тверская область,2
Свердловская область,Тюменская область,16
Свердловская область,Удмуртская Республика,3
Свердловская область,Ульяновская область,2
Свердловская область,Челябинская область,84
Свердловская область,Чувашская Республика,3
Свердловская область,Ямало-Ненецкий автономный округ,2
Тюменская область,Амурская область,9
Тюменская область,Вологодская область,1
Тюменская область,Кемеровская область,1
Тюменская область,Курганская область,11
Тюменская область,Московская область,1
Тюменская область,Новосибирская область,4
Тюменская область,Омская область,5
Тюменская область,Республика Алтай,1
Тюменская область,Республика Башкортостан,7
Тюменская область,Рязанская область,2
Тюменская область,Самарская область,1
Тюменская область,Саратовская область,2
Тюменская область,Свердловская область,11
Тюменская область,Томская область,1
Тюменская область,Тульская область,2
Тюменская область,Тюменская область,580
Тюменская область,Челябинская область,1
Челябинская область,Владимирская область,2
Челябинская область,Волгоградская область,3
Челябинская область,Воронежская область,3
Челябинская область,Запорожская область,1
Челябинская область,Кемеровская область,1
Челябинская область,Кировская область,1
Челябинская область,Красноярский край,1
Челябинская область,Курганская область,32
Челябинская область,Ленинградская область,2
Челябинская область,Москва,15
Челябинская область,Московская область,6
Челябинская область,Нижегородская область,4
Челябинская область,Новгородская область,1
Челябинская область,Новосибирская область,6
Челябинская область,Омская область,1
Челябинская область,Оренбургская область,1
Челябинская область,Пензенская область,2
Челябинская область,Пермский край,4
Челябинская область,Республика Адыгея,3
Челябинская область,Республика Башкортостан,24
Челябинская область,Республика Крым,6
Челябинская область,Республика Марий Эл,1
Челябинская область,Республика Татарстан,32
Челябинская область,Ростовская область,1
Челябинская область,Рязанская область,2
Челябинская область,Самарская область,4
Челябинская область,Санкт-Петербург,7
Челябинская область,Саратовская область,7
Челябинская область,Свердловская область,89
Челябинская область,Смоленская область,1
Челябинская область,Тюменская область,2
Челябинская область,Удмуртская Республика,3
Челябинская область,Ульяновская область,1
Челябинская область,Челябинская область,844
Челябинская область,Ямало-Ненецкий автономный округ,2
